Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
9,9,4,218,0.424,0.314,0.749,1.8,0.026,-2.2,-0.1,15.4,7.1,2.2,1.1
9,9,8,316,0.424,0.345,0.786,9.1,0.065,-2.5,-0.9,21.1,10.3,2.9,1.2
9,9,14,846,0.537,0.236,0.761,92.5,0.169,1.3,21.9,31,18.9,7.8,1.2
9,9,10,697,0.538,0.133,0.471,65.7,0.152,1.3,17.3,29.8,13.9,13.4,1.4
9,9,6,397,0.627,0.667,0.514,27,0.165,1,6,19.8,7,5.9,1.4
9,9,2,112,0.43,0.311,0.726,3.5,0.064,-2.1,0,23.4,7.1,5,1.4
9,9,13,915,0.471,0.196,0.743,58.4,0.101,-0.3,11.8,30.3,11.5,7.5,1.5
9,9,3,123,0.471,0.335,0.796,4.4,0.059,-3,-0.9,29,13,5.4,1.5
9,9,15,1001,0.469,0.152,0.728,43.8,0.097,-0.2,9.8,21.6,8,3.2,1.6
9,9,7,377,0.429,0.348,0.743,15.3,0.093,-0.3,3.4,21,9.4,4.1,1.6
9,9,16,1163,0.484,0.331,0.81,124.9,0.15,2.7,47.6,34.5,15.2,8.7,1.9
9,9,12,866,0.451,0.347,0.69,38.8,0.085,-0.3,9.7,25.3,10.9,4.5,2
9,9,21,1522,0.471,0.38,0.879,206.3,0.193,4.5,84.8,33.8,20.7,7.5,2.4
9,9,13,672,0.491,0,0.7,61.9,0.159,2.5,20.9,27.7,8.8,9,2.8
9,9,9,488,0.412,0.345,0.812,13.2,0.062,-1.2,1.9,21.1,9.8,1.8,3.1
9,9,12,733,0.453,0.371,0.826,60.2,0.127,2,22.8,31.1,15.6,4.5,3.5
9,9,1,53,0.406,0.326,0.558,0.2,0.006,-3.5,-0.5,26,10.4,2.4,3.5
9,9,14,955,0.411,0.38,0.867,47,0.1,-0.7,7.6,23.5,9.6,1.9,3.9
9,9,13,936,0.465,0.285,0.836,82.7,0.124,0.7,22.2,34.2,20.6,4.4,3.9
9,9,18,1218,0.463,0.331,0.709,100.2,0.122,2.2,41.3,32.3,11.4,4.9,4.2
9,9,5,216,0.402,0.312,0.652,-0.3,-0.003,-2.3,-0.4,23.9,10.7,2.9,4.2
9,9,15,938,0.435,0.338,0.746,97.3,0.152,5.2,55.7,32.7,19.6,5.6,4.4
9,9,11,741,0.418,0.36,0.84,59.5,0.116,2.8,29.7,33.3,19.5,3.8,5.3
10,10,3,47,0.427,NA,0.589,0.3,0.052,-5.1,-0.2,5.5,2.2,1.6,0
10,10,2,60,0.475,0.275,0.754,1.5,0.119,-2.6,-0.1,10.4,4.6,3.4,0.2
10,10,5,263,0.435,0.327,0.68,6.6,0.087,-2.1,-0.1,13.8,4.6,2.8,0.6
10,10,9,617,0.502,0.071,0.714,24.9,0.116,-1.3,1.7,16.7,5,4.1,0.7
10,10,10,440,0.472,0.167,0.785,22.3,0.121,-3.2,-2.6,20.1,8.2,7.2,0.7
10,10,16,987,0.498,0.125,0.626,52.7,0.105,-1.3,4.1,24.3,7.4,7.1,0.8
10,10,4,73,0.357,0.36,0.732,0.2,0.01,-3.7,-0.3,9.9,3.5,1.2,0.8
10,10,4,159,0.444,0.327,0.717,4,0.069,-2.6,-0.4,17.4,5.7,4,0.9
10,10,1,40,0.441,0.284,0.76,1,0.057,-4.2,-0.5,21.5,7.3,1.8,0.9
10,10,8,413,0.528,0.143,0.691,22.8,0.109,-0.6,3.4,24.2,11,6.2,1.1
10,10,18,1110,0.486,0.281,0.76,64.2,0.114,-0.8,8.6,24.5,8.1,6.6,1.1
10,10,7,427,0.415,0.356,0.798,10.2,0.049,-2.5,-1.3,23.2,8.3,3.1,1.1
10,10,8,418,0.556,0.111,0.69,37.4,0.168,1.4,9.1,25.6,11.5,7.7,1.2
10,10,3,127,0.384,0.325,0.841,0.8,0.011,-3.3,-1,25.2,10.7,3.2,1.3
10,10,14,856,0.494,0.34,0.796,70.9,0.131,1.3,21.6,30.3,16.5,6.3,1.4
10,10,6,241,0.409,0.372,0.879,2.2,0.033,-2.5,-0.4,13.3,6,1,1.4
10,10,10,684,0.457,0.35,0.716,22.6,0.07,-1.1,3.4,22.7,8.7,5.7,1.9
10,10,4,285,0.505,0.374,0.832,22.1,0.12,1,6.7,31,10.9,3.9,2
10,10,13,728,0.416,0.349,0.799,18.5,0.063,-2,-0.2,19.4,7,1.3,2.2
10,10,10,632,0.418,0.35,0.647,13.3,0.042,-3,-3.9,24.2,8.9,2.1,2.2
10,10,14,881,0.434,0.348,0.847,50.9,0.086,-0.2,12.6,32.2,14.1,5,2.3
10,10,7,310,0.414,0.316,0.638,8,0.048,-2,0,25.9,8.3,5.1,2.5
10,10,17,937,0.388,0.36,0.746,32.9,0.068,-0.4,9.4,24.8,8.5,2.2,2.7
10,10,14,954,0.437,0.373,0.809,100.6,0.147,3.1,42.3,34.4,14.8,4,2.9
10,10,9,569,0.454,0.397,0.819,38.9,0.104,1.2,14.7,31.5,19.1,3.4,3.4
10,10,6,336,0.432,0.344,0.611,5.2,0.041,-1.5,0.8,18.1,7.6,1.8,3.5
10,10,19,1343,0.445,0.368,0.806,150,0.157,3.7,65.5,34.2,19.7,5.6,3.5
10,10,12,732,0.436,0.381,0.849,76.1,0.149,4.1,37.6,33.6,20.4,6.4,3.6
10,10,19,1410,0.444,0.38,0.845,102,0.116,1.5,37.4,29.8,13.4,2.3,3.8
10,10,18,1277,0.441,0.371,0.802,82.9,0.09,0.4,26.5,34.6,16,4,3.9
10,10,9,555,0.387,0.345,0.796,29.9,0.085,0.8,11.8,30.3,14.1,3,5.7
10,10,8,488,0.448,0.289,0.624,16,0.058,-0.9,3.8,27.2,10.3,4.1,5.8
11,11,5,225,0.422,0,0.668,2.2,0.041,-5.7,-2.3,11.1,3.7,3,0.2
11,11,5,145,0.489,0,0.593,2.1,0.074,-2.9,-0.3,9.6,2.7,2.7,0.3
11,11,8,339,0.527,NA,0.738,9.6,0.135,0.1,1.8,10,3.1,3.3,0.5
11,11,8,298,0.536,0.258,0.562,11.1,0.095,-1,1.5,19,7.4,4.3,0.6
11,11,4,143,0.405,0.274,0.64,3,0.074,-1.1,0.4,13.5,3.6,2.4,0.7
11,11,14,801,0.502,0,0.643,56.2,0.12,-1.9,0.8,28,9.4,8.6,0.8
11,11,10,557,0.425,0.355,0.665,19.7,0.079,-0.9,3.2,21.5,8.3,3.1,0.8
11,11,1,28,0.353,0.347,0.871,0.1,0.015,-6.7,-0.4,10.6,5,1.7,0.8
11,11,10,516,0.594,0,0.5,30.7,0.132,-0.4,4.6,21.6,6.3,7,0.9
11,11,9,447,0.482,0.39,0.809,15.5,0.104,-1.4,1.1,16,5.6,3.9,0.9
11,11,8,519,0.477,0.412,0.819,19.3,0.085,-1.8,0.5,20.9,9.2,2.4,0.9
11,11,9,506,0.501,0.08,0.643,23.2,0.113,-1,2.4,19.5,8.6,4.5,1
11,11,6,236,0.417,0.237,0.703,3.5,0.035,-3,-1.2,20.4,7.8,3.3,1.1
11,11,7,431,0.489,0.349,0.768,33.1,0.128,0.7,8.3,28.7,12.7,6.7,1.2
11,11,3,119,0.416,0.396,0.91,2.9,0.079,-1.1,0.4,14.6,5.4,1.3,1.3
11,11,11,629,0.426,0.25,0.583,13.1,0.046,-2.4,-1.5,21.6,4.8,4.1,1.3
11,11,3,172,0.439,0.389,0.835,10,0.116,0.9,3.1,24,10.1,3.6,1.3
11,11,2,113,0.424,0.346,0.822,3.7,0.075,-1,0.6,20.9,8.2,3.4,1.3
11,11,4,188,0.413,0.235,0.778,1.6,0.032,-3.9,-1.1,12.7,3.9,1,1.6
11,11,5,285,0.418,0.353,0.829,4.7,0.041,-2.1,-0.1,19.5,9.8,2.2,1.9
11,11,15,940,0.447,0.415,0.892,63.7,0.128,0.6,16,25.5,12.8,2,2
11,11,16,1107,0.425,0.341,0.726,66.3,0.118,1.9,26.4,24.5,7,4.8,2.1
11,11,10,591,0.46,0.327,0.697,29.4,0.093,0.2,8.3,25.6,12.1,4.6,2.1
11,11,9,631,0.458,0.418,0.849,47.8,0.11,0.8,14.6,32.9,19.4,3.5,2.3
11,11,12,839,0.444,0.402,0.863,55.3,0.094,0.1,15,33.7,17.3,2.9,2.4
11,11,4,153,0.412,0.317,0.659,-0.2,-0.004,-2.8,-0.6,19.1,7.1,3.6,2.4
11,11,11,586,0.411,0.361,0.818,18.6,0.072,-1.6,1.1,21.3,8.4,2.1,2.9
11,11,6,404,0.533,0.32,0.727,34.1,0.143,1.7,10.8,28.3,14.2,9.1,3.5
11,11,4,230,0.467,0.345,0.807,16.2,0.107,1.6,6.7,31.6,17.5,4.4,4.1
11,11,8,391,0.402,0.255,0.706,6.6,0.032,-1.2,1.9,25.3,10.3,4.4,4.4
11,11,11,724,0.448,0.355,0.873,65.9,0.147,3.6,30.3,29.8,13.8,3,6.1
12,12,4,97,0.506,NA,0.61,1.7,0.054,-3.8,-0.7,15.5,4.3,3.9,0.2
12,12,6,292,0.501,0.286,0.582,3.9,0.055,-4.1,-1.8,11.6,3,2.6,0.3
12,12,4,210,0.426,0.417,0.744,2,0.033,-5.9,-2.8,14,5.2,3.6,0.4
12,12,9,409,0.513,NA,0.603,14.9,0.101,-2.1,-0.2,17.3,5.7,4.7,0.4
12,12,2,34,0.283,0.25,0.625,-0.1,-0.024,-5.2,-0.1,4.9,1.1,0.5,0.4
12,12,2,15,0.308,NA,0.625,-0.4,-0.13,-11.6,-0.4,10.1,1.7,2.4,0.5
12,12,9,472,0.47,0.211,0.63,11.8,0.076,-2.4,-0.7,15.8,4.4,3.6,0.6
12,12,10,587,0.439,0.125,0.791,12.7,0.07,-3.7,-3.7,15,4.9,3.3,0.6
12,12,5,185,0.406,0.325,0.635,0.8,0.013,-4.4,-1.7,15.7,5.7,1.9,0.6
12,12,11,610,0.479,0.167,0.694,15.5,0.064,-4,-5.9,19,6.5,4.5,0.7
12,12,9,375,0.46,0,0.625,4,0.032,-4,-3.1,16,5.3,3.2,0.7
12,12,12,659,0.407,0.34,0.861,27.6,0.115,-0.1,5.6,17.4,6.8,4,1
12,12,14,910,0.534,0.208,0.723,44.5,0.115,-1.3,3.1,20.4,5.9,5.2,1
12,12,7,427,0.438,0.336,0.726,13.1,0.082,-1.1,1.8,18,7.6,4.3,1
12,12,8,588,0.496,0.143,0.657,23.8,0.077,-2.6,-2.4,25.2,8.9,6.6,1.1
12,12,4,200,0.46,0.311,0.785,4.2,0.053,-3,-0.9,18.7,9,2.2,1.2
12,12,12,774,0.446,0.306,0.652,32.3,0.088,-0.4,7.3,22.8,6.6,5,1.4
12,12,12,737,0.415,0.378,0.758,26.5,0.079,-0.1,7.6,21.9,8,3.8,1.4
12,12,9,644,0.588,0.077,0.549,53.9,0.15,0.4,10.6,26.8,9.4,7.9,1.4
12,12,1,30,0.369,0.32,0.76,0.1,0.007,-4.2,-0.3,15.9,4.9,1.7,1.4
12,12,10,557,0.44,0.344,0.857,26.7,0.11,0.7,7.9,20.8,10.2,3.6,1.6
12,12,15,1061,0.502,0.33,0.665,67.7,0.104,0.5,19.5,29.5,12.9,5.9,1.8
12,12,6,348,0.414,0.372,0.819,7.4,0.042,-1.9,0.3,24.4,10.5,4,1.8
12,12,8,535,0.44,0.327,0.793,18.3,0.063,-1.8,0.6,25.9,11.2,3.2,1.9
12,12,11,602,0.418,0.375,0.799,23.9,0.084,-0.7,4.6,22.6,10.5,3.4,2
12,12,5,356,0.441,0.357,0.838,16.4,0.088,-0.8,2.6,25.2,11.7,5.9,2
12,12,5,277,0.449,0.422,0.864,13.1,0.098,-0.3,2.9,23.3,9.8,2.9,2.1
12,12,4,269,0.467,0.34,0.808,13.7,0.085,-0.5,2.9,28.7,12.8,5.6,2.1
12,12,3,165,0.446,0.38,0.702,6.7,0.067,-1,1.2,29.1,11.8,5.9,2.2
12,12,6,277,0.416,0.363,0.744,8.4,0.069,-1.3,1,21.1,7.8,2.1,3.2
12,12,11,757,0.403,0.349,0.733,35.9,0.109,1.3,13.3,20.9,7.3,1.9,4
12,12,2,113,0.466,0.413,0.841,8.3,0.109,2.1,3.8,32.4,13.8,3.4,6.5
13,13,4,89,0.437,0.35,0.659,0.5,0.026,-4.7,-0.6,9.6,3.5,1.5,0.2
13,13,7,428,0.439,0.136,0.738,20.2,0.134,-2,0,16.9,6.7,4.2,0.4
13,13,2,39,0.514,0,0.857,0.4,0.044,-3.9,-0.2,12.2,4.1,3.2,0.7
13,13,4,231,0.499,0.262,0.584,3.9,0.061,-0.5,1.2,13.2,3.9,2.3,0.8
13,13,12,710,0.567,0,0.584,43.1,0.151,-0.2,6.2,19.3,6,6.5,0.8
13,13,11,689,0.504,0.244,0.718,35.8,0.101,-1.5,2.2,24.7,10.1,7.1,0.9
13,13,16,1094,0.53,0,0.562,86.9,0.141,0.5,18.4,27.1,8,7.9,0.9
13,13,6,353,0.5,0.053,0.645,18.2,0.11,-0.7,2.6,22.6,8.2,5.9,0.9
13,13,4,119,0.458,0.231,0.746,2.6,0.068,-1.7,0.2,15.7,6.9,4,1
13,13,9,481,0.426,0.402,0.706,11.2,0.051,-1.4,1.6,22,6.8,2.9,1
13,13,12,822,0.49,0.136,0.714,34.7,0.089,-2,-0.1,22.8,11.1,3.9,1.2
13,13,3,187,0.422,0.339,0.813,4.1,0.048,-3.7,-1.7,21.7,9,2.2,1.2
13,13,3,113,0.363,0.31,0.721,-0.1,-0.003,-4.7,-1.1,14.2,4.5,1.8,1.2
13,13,14,869,0.449,0.349,0.732,39.3,0.099,0.6,12.4,21.9,5.7,3.7,1.4
13,13,11,708,0.446,0.341,0.777,27,0.073,-1.4,2.8,24.9,11,5.2,1.6
13,13,10,586,0.424,0.329,0.841,29.5,0.086,-0.8,4.9,28,10.1,3.4,2
13,13,17,1181,0.464,0.376,0.768,83,0.116,0.2,19.4,29,12.6,4,2
13,13,9,591,0.475,0.364,0.779,34,0.125,0.8,9.3,22.1,10.1,5.1,2
13,13,14,827,0.453,0.324,0.822,62.2,0.128,0.3,13.3,28.2,16,4.9,2.1
13,13,8,348,0.432,0.327,0.768,6.6,0.057,-2,-0.1,16,5.9,1.5,2.1
13,13,2,78,0.391,0.298,0.841,0.7,0.027,-3.6,-0.5,16,6.2,1.4,2.2
13,13,1,50,0.435,0.364,0.792,1.3,0.045,-1.8,0.1,28.7,13.4,4.1,2.2
13,13,6,402,0.411,0.378,0.779,7.3,0.048,-2.6,-1.1,18.2,8,1.5,2.6
13,13,3,155,0.431,0.375,0.852,5.2,0.053,-1.2,1,30,16,4.6,3.1
13,13,11,615,0.408,0.341,0.853,43.9,0.117,1,13.5,29.2,12,3.2,3.4
13,13,10,564,0.39,0.319,0.777,5,0.02,-3.4,-4.2,21.5,7.4,1.6,3.5
13,13,13,923,0.443,0.355,0.801,47.2,0.081,-0.2,12.3,30.3,14.3,3.5,3.8
13,13,8,458,0.461,0.387,0.83,22.1,0.073,0.4,8.7,31.7,19.6,3.9,3.9
13,13,5,324,0.441,0.36,0.835,27.3,0.12,2.4,12.2,33.7,23.7,4.2,4.4
13,13,7,460,0.454,0.354,0.869,27.2,0.085,0.2,8.7,33.6,23.3,3.9,4.6
13,13,20,1346,0.447,0.329,0.837,172.7,0.17,4.6,80.1,36.1,25,5.2,4.7
13,13,4,160,0.399,0.37,0.611,1,0.015,-3.5,-1.1,19.3,5,1.6,4.9
14,14,4,110,0.396,NA,0.57,-0.7,-0.033,-8.4,-1.6,9.1,2.1,2.6,0
14,14,1,27,0.467,NA,0.684,0.3,0.087,-2.8,0,6.9,2,2,0.2
14,14,4,72,0.393,0,0.662,0.2,0.036,-6.9,-0.4,4.3,1.9,1,0.3
14,14,1,34,0.376,0.306,0.824,0.4,0.065,-4.7,-0.2,9.5,3.2,1.4,0.3
14,14,2,87,0.411,0.31,0.809,1.2,0.051,-4.2,-0.6,12.8,4.2,2.3,0.4
14,14,6,261,0.403,0.328,0.664,2.9,0.038,-2.8,-0.8,13.9,4.4,3,0.5
14,14,5,278,0.473,0.319,0.751,8.5,0.085,-2,0,17.2,9,2.8,0.5
14,14,3,94,0.396,0.305,0.662,1.5,0.053,-3,-0.4,14.7,3.6,1.9,0.5
14,14,13,800,0.463,0.293,0.7,30.3,0.102,-1.7,1.2,17.8,6.7,5.4,0.7
14,14,6,252,0.453,0.241,0.74,5.8,0.072,-1.6,0.4,15.2,7.1,4.3,0.7
14,14,11,719,0.447,0.369,0.755,31.9,0.102,0,7.4,20.8,6.7,3.9,1
14,14,8,445,0.54,0.25,0.568,20.7,0.113,-0.5,3.4,19.7,7.6,5.3,1.1
14,14,3,125,0.518,0.419,0.795,9.6,0.15,2.1,3.1,24.6,14.1,6.1,1.1
14,14,9,534,0.466,0.152,0.711,9.9,0.036,-3.6,-5.3,25,11,4.6,1.2
14,14,4,296,0.452,0.293,0.747,6.1,0.035,-3.5,-3.2,28,11.9,4.2,1.2
14,14,7,332,0.507,0.357,0.78,19.6,0.099,-0.2,4.2,28.8,15.5,4.1,1.2
14,14,4,249,0.431,0.368,0.741,3.6,0.035,-1.7,0.4,20.2,10,2,1.3
14,14,12,658,0.415,0.318,0.736,23.2,0.071,-2.4,-1.5,23.9,8.6,3.3,1.4
14,14,3,142,0.33,0.255,0.714,-0.9,-0.034,-5.6,-1.1,8.5,2.7,0.7,1.4
14,14,12,729,0.445,0.388,0.785,50.3,0.121,0.1,10.6,27.3,10.8,7.8,1.5
14,14,11,700,0.436,0.379,0.768,35.9,0.091,-0.5,7.2,27.1,12.4,4.6,1.5
14,14,8,502,0.49,0.254,0.675,30.4,0.127,1.6,10.6,23,7.8,2.8,1.6
14,14,8,493,0.426,0.292,0.809,17.1,0.07,-1.2,2.2,23.8,10.1,3.2,1.7
14,14,13,804,0.45,0.401,0.895,82.6,0.147,1.9,26.2,33.5,17,4.7,1.8
14,14,5,256,0.394,0.36,0.787,4.5,0.045,-1.8,0.2,18.8,7,3.3,1.8
14,14,6,167,0.389,0.267,0.728,-0.8,-0.021,-5.6,-1.7,11.2,3.6,1,1.9
14,14,7,430,0.411,0.353,0.809,16.5,0.077,-1,2.6,24,7.5,2.2,2.3
14,14,5,212,0.432,0.402,0.784,9.6,0.061,-1.3,1.3,35.3,15.4,2.9,2.6
14,14,3,115,0.41,0.362,0.749,2.4,0.039,-2.6,-0.5,25.8,11.1,2,2.8
14,14,7,261,0.421,0.365,0.835,7.1,0.075,-0.6,1.6,17.4,7.4,2.1,2.9
14,14,5,321,0.553,0.146,0.74,32.1,0.172,2.8,10.9,28,13,8.2,3.5
14,14,12,830,0.431,0.349,0.862,36,0.08,-0.6,7.5,26.1,9.3,2.3,4.5
15,15,8,400,0.56,0,0.485,10.6,0.085,-2.3,-0.5,15,4.5,3.2,0.2
15,15,3,75,0.409,NA,0.39,0.1,0.005,-5,-0.5,9.4,2.2,1.9,0.2
15,15,5,151,0.455,0.35,0.738,1.9,0.042,-5.4,-1.9,14.4,5.6,2.9,0.3
15,15,10,541,0.507,0.077,0.644,28.6,0.129,-0.3,4.4,19.6,5.5,5.3,0.5
15,15,4,107,0.406,0.254,0.68,-0.6,-0.019,-5.9,-1.4,13.1,4,2.9,0.6
15,15,6,282,0.424,0.345,0.693,7.1,0.079,-2,0,15.5,5.3,3.4,0.6
15,15,3,90,0.392,0.277,0.86,0.2,0.018,-3.9,-0.3,6.6,3.4,0.9,0.7
15,15,3,85,0.378,0,0.709,0.2,0.013,-4.8,-0.6,9.9,2.4,1.8,0.7
15,15,3,71,0.324,0.269,0.606,-0.6,-0.049,-6.1,-0.6,8.5,1.7,0.7,0.7
15,15,6,293,0.402,0.351,0.778,4.5,0.053,-2,0,14.1,5.2,2.6,0.7
15,15,6,238,0.48,0,0.553,10.3,0.107,-1.1,1.1,19.5,6.4,5.7,0.7
15,15,3,96,0.388,0.256,0.693,-0.4,-0.012,-6.5,-1.8,17.1,5.6,2.8,0.7
15,15,6,352,0.403,0,0.686,0.3,0.002,-5.7,-6.4,19.1,5.6,4.5,0.8
15,15,14,930,0.537,0.296,0.743,48.9,0.115,-1,4.9,22,8.8,4.9,0.8
15,15,6,317,0.406,0.375,0.784,8.7,0.074,-1.6,0.6,17.8,7.1,2.6,0.9
15,15,10,615,0.474,0.32,0.624,22.9,0.079,-0.8,4.1,22.7,6.9,3.6,0.9
15,15,1,53,0.43,0.322,0.884,1.2,0.055,-2.7,-0.2,19.8,6.8,2.5,0.9
15,15,14,789,0.434,0.399,0.839,31,0.102,0.2,7.9,18.5,7.5,2.2,1
15,15,6,297,0.412,0.304,0.674,3.1,0.026,-3.7,-2.4,19.2,5.4,2.3,1
15,15,7,457,0.433,0.329,0.754,16.7,0.069,-1.8,0.4,25.4,12.1,4.4,1
15,15,5,255,0.426,0.321,0.799,5.3,0.053,-2.8,-1,18.7,6.5,2.5,1.1
15,15,11,665,0.481,0.333,0.753,41.9,0.114,-0.6,6.2,26.4,11.5,5.1,1.4
15,15,14,915,0.499,0.121,0.711,71,0.13,1.2,21.3,28.7,15.7,8.4,1.5
15,15,4,203,0.426,0.33,0.754,4.6,0.056,-2.1,-0.1,19.2,6.6,4,1.7
15,15,13,827,0.427,0.384,0.799,30.7,0.072,-0.7,6.6,24.7,9.7,2.6,2.4
15,15,10,576,0.493,0.384,0.858,83.3,0.222,6.9,40.4,31.3,19.2,6.4,2.9
15,15,14,912,0.46,0.405,0.823,70.5,0.143,2.6,27.7,25.9,9.3,3,3.2
15,15,10,651,0.423,0.3,0.824,28.7,0.077,-0.9,4.9,27.5,12.6,2.9,3.6
15,15,9,638,0.533,0.29,0.718,84.4,0.195,5.9,41.3,32.5,21.6,9.3,4.6
15,15,2,93,0.397,0.337,0.845,1.2,0.02,-2,0,30,15.3,5.2,5
15,15,18,1217,0.49,0.428,0.904,129.7,0.164,3,48.2,31.3,14.3,3,8.5
16,16,1,3,0,NA,NA,0,-0.121,-16.9,0,3,0,0,0
16,16,2,27,0.232,0,0.5,-0.5,-0.197,-13.3,-0.4,5,1.2,1,0.3
16,16,5,299,0.422,0.338,0.704,6.2,0.064,-1.6,0.5,15.4,5.9,2,0.4
16,16,2,74,0.442,0.323,0.682,1.1,0.105,-1.9,0,6.6,2.3,1.4,0.4
16,16,6,377,0.483,0.3,0.815,7.8,0.061,-3.6,-2.4,16.2,5.9,2.8,0.5
16,16,4,141,0.632,0.265,0.64,6,0.165,2.3,1.9,12.4,3.2,2.8,0.5
16,16,4,173,0.496,0.182,0.465,3.9,0.063,-3.5,-1.1,17.2,4.8,5.2,0.6
16,16,12,652,0.469,0.192,0.639,28,0.097,-1.8,0.6,21.1,7.8,5,0.6
16,16,8,381,0.408,0.402,0.747,7.2,0.065,-2.1,-0.1,14,4.8,2.2,0.6
16,16,11,700,0.513,0.249,0.66,32.1,0.112,-1.1,3.2,19.7,10.3,5.3,0.7
16,16,1,6,0.222,0,1,-0.2,-0.326,-19.6,-0.2,5.7,1.8,0.7,0.7
16,16,10,705,0.459,0.356,0.797,25.8,0.116,-2.2,-0.6,15.1,7.9,4.1,0.7
16,16,4,22,0.404,0.25,0.667,0.4,0.066,-2.8,-0.1,13.5,3.9,2.7,0.9
16,16,2,13,0.378,0.316,0.667,0,0.011,-6.1,-0.1,11,3.7,1.2,0.9
16,16,12,720,0.418,0.376,0.836,18.6,0.054,-2.2,-0.8,22.8,11.4,2,1
16,16,2,118,0.539,0.276,0.683,6.1,0.106,-2.3,-0.2,23.3,8.1,7.4,1
16,16,4,211,0.438,0.327,0.699,4.5,0.061,-1.2,0.7,16.8,6.3,2.3,1.1
16,16,11,678,0.457,0.384,0.781,33.3,0.097,-0.6,5.9,24.2,10.6,5.4,1.3
16,16,4,247,0.403,0.343,0.752,5.7,0.059,-1.9,0.1,18.6,6.1,2.4,1.5
16,16,4,151,0.34,0.305,0.683,0.6,0.026,-1.5,0.1,7.2,2.4,0.6,1.7
16,16,7,335,0.441,0.361,0.809,6.3,0.066,-2,0,13.7,4.6,1.2,1.7
16,16,10,545,0.408,0.343,0.769,19.5,0.08,-0.4,4.8,21.5,9.1,2.5,1.9
16,16,2,94,0.397,0.323,0.795,2.6,0.055,-0.8,0.7,24.5,8,4.4,1.9
16,16,13,728,0.475,0.302,0.68,27,0.087,0.5,9.4,20.5,7.8,3.6,2.1
16,16,6,243,0.382,0.371,0.83,2.4,0.03,-3.1,-1.1,16.3,4.4,1.2,2.2
16,16,8,411,0.5,0.232,0.672,24,0.118,0.5,6.2,23.9,12.2,8.5,2.2
16,16,1,50,0.481,0.277,0.698,1.3,0.065,-0.6,0.3,18.7,8.7,4.8,2.5
16,16,17,991,0.414,0.339,0.715,61.1,0.093,1.2,25.4,31.7,13.2,4.5,2.7
16,16,15,997,0.426,0.384,0.784,63.3,0.114,0.9,19.6,26.8,11.1,4,2.8
16,16,11,720,0.494,0.351,0.756,58.5,0.126,2.3,24.2,30.9,17,10.5,2.8
16,16,7,455,0.413,0.373,0.815,21.6,0.089,0.4,7.2,25.7,12.3,3.9,3.1
16,16,12,729,0.412,0.134,0.789,32.6,0.086,0.3,10.5,24.9,7.3,2.4,6.1
17,17,3,142,0.404,0.182,0.768,1.8,0.061,-3.2,-0.4,9.7,3,1.9,0.2
17,17,4,137,0.511,0,0.624,3,0.073,-3.1,-0.6,14.4,4.2,3.4,0.3
17,17,4,95,0.367,0.277,0.563,0.8,0.046,-3.4,-0.3,8.5,2.3,1,0.3
17,17,3,54,0.402,0.394,0.718,0.1,0.007,-4,-0.4,16,4.7,2.2,0.5
17,17,5,173,0.477,0.143,0.511,2,0.047,-4,-1,11.7,2.8,3.4,0.5
17,17,3,139,0.337,0.313,0.692,-0.6,-0.017,-4.7,-1.2,12,3,1.1,0.5
17,17,1,41,0.338,0.336,0.857,0.6,0.052,-3.3,-0.2,12.7,3.9,2.1,0.5
17,17,4,179,0.449,0,0.648,1.7,0.043,-4.1,-1,10.6,4,2.5,0.6
17,17,3,150,0.427,0.273,0.733,1.1,0.035,-3.9,-0.7,10.3,4.3,2.1,0.6
17,17,7,423,0.489,0,0.715,5.9,0.044,-4.3,-3.6,15.2,5.9,3.5,0.6
17,17,7,314,0.403,0.339,0.755,6.7,0.06,-2.2,-0.3,17.1,5.6,3,0.7
17,17,5,145,0.417,0.327,0.618,2.8,0.073,-2.6,-0.3,12.4,4.4,3.1,0.7
17,17,5,286,0.518,0.286,0.634,8.8,0.073,-2.2,-0.3,20.1,8.9,4.8,0.9
17,17,8,414,0.508,0.286,0.764,17.1,0.113,-2,0,17.5,6.9,4.4,0.9
17,17,5,207,0.407,0.29,0.775,1.3,0.025,-3.8,-1.2,12.2,4.5,1.1,1
17,17,12,811,0.502,0.077,0.585,39.9,0.107,-0.9,5,22.2,6.8,5.1,1
17,17,9,662,0.465,0.25,0.755,35.9,0.105,-1.1,3.5,24.8,10,6.3,1.3
17,17,18,1011,0.467,0.147,0.715,66,0.116,0.3,15.6,27.1,13.2,7.2,1.4
17,17,3,56,0.355,0.25,0.776,-0.3,-0.028,-5.3,-0.5,10.3,3.1,1.2,1.4
17,17,10,643,0.449,0.26,0.74,23.1,0.056,-2.4,-2.1,30.5,12.1,4.5,1.6
17,17,2,87,0.358,0.278,0.69,-1.9,-0.052,-5,-1.4,20.5,6.9,4.5,1.7
17,17,7,436,0.413,0.341,0.833,6.1,0.034,-2.1,-0.3,19.5,8.4,1.9,1.8
17,17,10,461,0.391,0.337,0.764,12.9,0.054,-1.7,0.9,24.9,7.2,3.3,1.8
17,17,10,586,0.434,0.38,0.848,48.5,0.126,1.8,17.7,31.5,16.8,4.9,1.9
17,17,3,145,0.388,0.33,0.715,0.2,0.004,-2.8,-0.6,20.1,9.8,2.7,2.3
