Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
2,2,5,252,0.4,0.364,0.578,11.7,0.068,1.1,6.3,32.5,11.9,5.7,6.2
2,2,17,1335,0.466,0.317,0.729,145.5,0.148,3.3,62.5,35.3,16.3,3.9,6.7
2,2,3,176,0.473,0.321,0.752,12.6,0.107,1.6,5.1,32.1,20.6,4.4,7.2
2,2,19,1391,0.4,0.349,0.785,138.6,0.133,3.8,73.5,36,12.6,6.3,8.7
3,3,11,748,0.548,0.289,0.777,52.8,0.157,-0.1,7.6,21.5,11.2,7.8,0.9
3,3,6,247,0.542,0.222,0.676,7.2,0.071,-2,0,19.5,10.4,4.7,0.9
3,3,10,563,0.466,0.363,0.711,39.4,0.13,0.7,9.8,25.8,10.1,6.1,1.1
3,3,12,789,0.534,0.198,0.663,60.3,0.151,0.9,13.9,24.3,10.6,7.1,1.1
3,3,3,161,0.373,0.331,0.71,-1.4,-0.021,-5,-2.4,20.4,7.5,2.1,1.4
3,3,9,489,0.478,0.401,0.791,35.1,0.133,1.8,12.2,26,10.7,5,1.5
3,3,7,446,0.472,0.168,0.59,9.5,0.039,-1,3,26.3,10.1,4.9,1.9
3,3,6,383,0.47,0.373,0.712,22.5,0.099,0,5.5,28.5,16.1,4.9,1.9
3,3,15,986,0.441,0.377,0.803,58.5,0.103,0.3,15.7,27.7,11.2,4.3,2.2
3,3,12,830,0.472,0.297,0.81,71.2,0.118,1,21.9,34.8,18.1,7.5,2.5
3,3,11,744,0.432,0.401,0.857,33.3,0.078,-0.3,8.7,27.4,14.9,2.5,2.5
3,3,13,868,0.48,0.261,0.82,64.9,0.121,1,19.5,29.7,12.8,6.7,2.6
3,3,1,50,0.503,0.265,0.672,4.2,0.117,0.9,1.2,34.1,14.9,8.1,2.6
3,3,19,1241,0.447,0.356,0.814,107.9,0.12,1.4,36.7,34.7,22.6,6.2,2.7
3,3,10,600,0.481,0.291,0.629,28.6,0.078,-0.2,7.8,29.4,11.7,6.7,2.8
3,3,3,176,0.421,0.364,0.687,5,0.041,-2.2,-0.3,33,16.6,5.5,2.8
3,3,8,547,0.429,0.373,0.82,21.8,0.062,-0.9,4.7,30.9,13.8,3.1,2.9
3,3,5,345,0.453,0.38,0.842,31.5,0.132,2.4,12.9,33.3,20.4,6.6,2.9
3,3,18,1226,0.507,0.368,0.753,144.1,0.169,3.6,57.5,33.4,17,9.2,3.2
3,3,18,970,0.409,0.309,0.822,52.4,0.083,0.3,17.4,31.2,16.9,3.2,3.3
3,3,15,932,0.514,0.357,0.758,97.9,0.156,2.8,36.8,32.2,13.7,8.2,3.3
3,3,6,306,0.488,0.335,0.809,39.9,0.202,5.8,18.5,30.9,25.5,11.3,3.3
3,3,9,586,0.442,0.354,0.905,25.2,0.077,-0.8,4.5,26.7,14.6,1.9,3.5
3,3,18,1026,0.483,0.314,0.769,99.9,0.138,3,43.6,33.9,16.7,6,4.1
3,3,10,645,0.456,0.372,0.821,49.2,0.105,1.7,21,34.8,22.1,4.1,4.2
3,3,14,704,0.458,0.316,0.774,61.9,0.125,2.5,26.9,33.7,15.2,4.5,5
3,3,17,1043,0.415,0.387,0.894,120.8,0.176,3.2,43.5,31.6,15.2,2.9,5.4
3,3,13,921,0.443,0.362,0.859,146.6,0.221,6.8,70.8,34.6,25,5.6,6.7
3,3,2,104,0.429,0.361,0.811,7.1,0.106,2.7,3.8,30.8,17.9,6.5,6.9
3,3,13,835,0.409,0.32,0.711,63.1,0.106,2.6,33.1,34.2,16.1,3.8,7.2
3,3,4,243,0.456,0.332,0.734,26.3,0.154,6.6,17.7,33.7,26,8.5,7.9
3,3,12,845,0.445,0.357,0.822,77.3,0.129,1.9,28.3,34.2,16.3,3.1,8.1
4,4,11,527,0.545,1,0.642,21.7,0.08,-2.4,-1.3,24.9,12.9,5.2,0.5
4,4,8,402,0.438,0.235,0.732,13,0.078,-1.2,1.7,19.7,7.7,4.8,0.9
4,4,18,1196,0.518,0,0.684,117,0.153,1.7,33.9,30.8,9.8,10.3,1
